lobbyist_name,position
Pete Lawson,"Senior Counsel, Rep Jim Moran (02-04); Legislative Asst, Rep Jim Moran (98-00)"
Gregory M. Gill,"​Legislative Director, Representative Hoyer, Asst. Staff, House Appropriations Committee"
Pete Lawson,"Senior Counsel, Rep. Jim Moran (02-04); Legislative Asst, Rep Jim Moran (98-00)"
Ansley Erdel,"Legislative Assistant, Rep. Nathan Deal"
Sam Adcock,"Jan-1996-March 1997: Dir. of Defense and Security Policy, Office of Senate Majority Leader; Jan. 1990-Dec. 1996:  Legis. Dir., Sen. Trent Lott; Nov. 1989-Jan. 1990: Legis. Assist.,  Sen. Trent Lott"
John Breaux,"US Senator Jan. 1987-Jan. 2005; US Congressman, Sept. 30, 1972-January 3, 1987."
Pablo Carrillo,"Feb. '00-Feb.'03: Maj. Coun., House Com. Govt Ref. and Oversight; Feb. '03-Jan. '07:Chief Invest. Counsel, Sen. Com. Indian Affairs, Sen. Commerce Com; Jan. '07-Jan. '13: Min. GC, Sen. Com. Armed Services Jan '13-Sept 17-COS, Sen McCaain"
Chester Trent Lott,"US Senator, January 1989-December 2007; US Congressman, January 1972-December 1989"
Orlie Yaniv,"Director, Globalization Task Force in OASD
(NII)/DoD CIO;HQE Spec Assistant to the DASD
IIA/OASD(NII)/DoD CIO;Special Assistant to Deputy
CIO for Cybersecurity/DoD CIO."
Andrew McKechnie,"Health Policy Advisor, Sen. Finance Committee; Legislative Assistant, Senator Norm Coleman;
Legislative Assistant, Rep. Jim Ramstad; Bipartisan Medical Technology Caucus"
Joe Trauger,"Sr. Policy Advisor, Majority Whip Roy Blunt 2003-2005
Policy Advisor, Majority Leader Dick Armey 2002
Sr. Leg. Asst, Cong. Sam Johnson 2000
Leg. Asst, Senator Rod Grams 1996-2000"
Nicolas Muzin,"​Senior Advisor and Deputy Chief of Staff, Senator Ted Cruz; Director of Coalitions, House Republican Conference; Chief of Staff and Senior Advisor, Congressman Tim Scott"
Bethany Bassett,LA - Sens. Kennedy and Kirk; DOD Spec. Asst. to Sec.
Dan Renberg,"Member, Board of Directors, Ex-Im Bank (1999-2003); Leg. Director and Dep. Chief of Staff, Sen. Arlen Specter (1994-1998)"
Philip English,U.S. Representative (1995 - 2009)
Oswaldo Palomo,"L.A., Rep. Walsh; Staff Assistant, Rep. Walsh"
Luke Ballman,Deputy Assistant Secretary for Legislative Affairs- US Department of Treasury
Darrell Campbell,n/a
Lindley Sherer,"Chief/Staff, Rep. Elise Stefanik (2015-2018);
Leg Dir, Rep. Scott Tipton (2013-2014);
Leg Dir, Rep. Todd Rokita (2011-2013);
Spec Adv, Treasury Dept (2007-2008);
Spec Asst, Exec Off of the Pres (2005-2006);
Spec Asst, Off of the VP (2002-2005)"
Carolyn Coda,"Special Assistant, Office of Legislative Affairs, US Department of the Treasury (2006-2008)"
Eric Rosen,"Asst US Atty, N. Dist of CA, Dept of Justice (2006-2007);
Counsel, Sen. Judiciary Comm (2001-2006);
Leg Dir, Rep. Anthony Weiner (1999-2001);
Dep Dir, Dept of Justice Office of Intergovt Affair (1997-1999);
Leg Asst, Rep. Chet Atkins (1992-1993)"
Robert Borski,Member of Congress (1983-2003)
Mark Trumbore,"Legislative Assistance (Rep Paul McHale), Legislative Director (Rep Robert Brady)"
Bonnie Walker Armstrong,Chief of Staff Congressman Bennie G. Thompson
Carmencita Whonder,"Stf Dir.-Subcom on Hsg, Transp & Comm Dev; Min. Stf Director - Subcomm on Econ Policy; Legis. Corres-Offc of Sen Charles Schumer"
Benjamin Dunham,"Counsel, Senate Environment Committee; Legislative Director, Sen. Frank Lautenberg"
Christina McGarry,"Legislative Assistant/Scheduler, Rep. Mario Diaz-Balart"
Jesse Appleton,"Leg. Assn't, Sen. J. Talent; Sr. Advisor, U.S. Treasury."
Scott Nelson,"Sen. Byron Dorgan - Asst. Chief of Staff, Leg, Assistant, Dep. Chief of Staff; Dept. of Energy - Deputy Director of Scheduling & Advance"
Karishma Page,"Associate Chief Counsel, CFTC, Div of Trading & Markets; Deputy Director, CFTC, Div of Clearing & Intermediary Oversight"
Mary Baker,"Large Case Team Coordinator, IRS; Motor Vehicle Industry Specialist, IRS; Technical Advisor Mgr, IRS; Mgr, Office of Tax Shelter Analysis, IRS; Tax Staff Prof/IRS Detailee to Senate Finance Committee"
Stacy Ettinger,"Staff Atty/Chief, AD/CVD Regulation/Assoc Ch Cnsl, DoC, Office of Genl Cnsl; Trade Cnsl detailee from DoC to JEC; Dep Staff Dir, JEC; Sr Cnsl, Sen Schumer; Sr Cnsl/Acting Dep Staff Dir/Ch Cnsl/Dem Ch Cnsl, Sen Comm Rules & Admin"
Devon Seibert-Bailey,"House Veterans Affairs Committee Majority Staff
Congresswomen Marge Roukema and Congressman David McKinnley"
Devon Seibert-Bailey,"House Veterans Affairs Committee Majority Staff, Congresswoman Marge Roukema and Congressman David McKinnley"
Christopher DeLacy,"Counsel, House Science Cmte., Technology Subcmte.; Counsel, Senator John Warner"
Lauri Hettinger,"LA & Staff Director, Sen. George Voinovich; LA, Sen. Norm Coleman; LA & Leg. Correspondent, Sen. Strom Thurmond"
Lisa Barkovic,"LA, Rep. Mark Foley"
Angela McCarter,President
Kevin Binger,Staff Director-House Government Reform Committee
Laura Johnson,Legislative intern - Senate HELP Committee
Paul Reagan,"​Chief of Staff, Congressman Jim Moran; Chief of Staff, Senator Jim Webb"
Jeff Forbes,"Staff Director, Senate Finance Committee; Chief of Staff, Senator Max Baucus; Deputy Asst., Special Asst., Deputy Director EOP."
Cindy Brown,"Leg Assistant, Rep. Stupak, 1993-1994; Leg Director, Rep. Kind, 1999-2002; Chief of Staff, Rep. Kind, 2003-2009"
Jeff Strunk,"Deputy Floor Director, House Speaker Boehner; Floor Assistant, House Speaker Boehner; Legislative Assistant, John Boehner; Staff Member, Pat Tiberi"
Kristina Dunklin,"Legislative Director, Rep. Brooks, 2018 - 2019; Legislative Director, rep. Valadao, 2015-2018; Legislative Assistant, Rep. Valadao, 2014-2015"
Jeff Sadosky,"Communications Director, Senator Rob Portman; Communications Director, Senator Kay Bailey Hutchison; Deputy Press Secretary, Senator Mike DeWine"
Francesca McCrary,"Legislative Assistant, Elijah Cummings (2016-2017); Professional Staff,House Oversight Reform Committee (2016-2016)."
Jeff Sadosky,"Communications Director, Senator Rob Portman; Communications
Director, Senator Kay Bailey Hutchison; Deputy Press Secretary, Senator
Mike DeWine"
Al Simpson,"2011-2017 COS REP Mick Mulvaney
US Representative 1997-2005
US Representative, 2001-2013"
Maura Keefe,"Chief of Staff, Senator Shaheen 2009-2019
Chief of Staff, Congresswoman Rosa DeLauro 1997-2000
Press secretary,Congresswoman Rosa DeLauro 1993-1996"
Sarah Mae Stevens,"Policy Advisor, Senator Ben Cardin; Senior Legislative Assistant, Rep. Matt Cartwright; Legislative Assistant, Rep. Russ Carnahan"
Jennifer Carrier,"Staff Assistant (2002), Deputy Press Secretary (2003-2004), and Press
Secretary (2004-2005) to Senator Tom Harkin"
Stephen Peranich,Chief of Staff to Congressman Gene Taylor
Scott Thomas,"Commissioner, Federal Election Commission (1986-2006)"
Mark Kadesh,Rep. Harman (1995-1997); Sen. Feinstein (1998-2007)
Christian Kierig,Sen. Feinstein (1995-2001)
Dave Ramey,Rep. Ken Calvert (1993 - October 2016)
Dimitri Karakitsos,"​Staff Assistant, Research Assistant, Professional Staff, Counsel, Senior Counsel, Senate Environment & Public Works Committee"
David Thompson,"Senior Policy Advisor, Office of Speaker J. Dennis Hastert (1999-2002)"
Spencer Abraham,"Secretary, U.S. Department of Energy (2001-2005); Senator, U.S. Senate
(1995-2001)"
Nat Bell,Senior Legislative Assistant to Rep. Robert Andrews
Sarah Helton,"Intern, House of Representatives"
Bob Okun,"​Asst. to Speaker Newt Gingrich; Floor Asst. to House Republican Leader Robert H. Michel; Asst. Secretary of Education for Legislation, DOE"
David Crane,"Senior Policy Advisor - Senate Majority Leader/Republican Leader Trent Lott, Professional Staff - Senate Commerce Committee - Chairman John McCain, Leg Assistant, Leg Director, Senator Dan Coats"
Warren Tryon,"Deputy Staff Director, House Financial Services Committee; Deputy Chief of Staff & LD, Rep. Spencer Bachus."
Joseph Eannello,"Legislative Director, Rep. Kevin Yoder; Legislative Assistant, Rep. Jerry Weller."
Duane Gibson,LA Senator Stevens; Counsel H. Cttee on Resources; Staff Director/Counsel H. Transp Subcommittee on Highways and Transit
Roger Gwinn,Associate Staff Member at House Committee on Appropriations; Legislative Director for Vic Fazio 1987 -1993
Stephanie Missert,"Intern for Senator Kirsten Gillibrand in Buffalo, NY, 2/2011- 5/2012"
John Weinfurter,"Former Chief of staff, Rep. John Moakley"
Wade Ackerman,"Sr. FDA Counsel, U.S. Senate Committee on Health, Education, Labor & Pensions"
Tracy Taylor,Sch. C at Agency for International Development
Rebecca Anderson,White House Office of Legislative Affairs
Michael Beer,"LA, Rep. Dave Hobson"
Jenny DiJames,"LA and LD, Rep. Bud Cramer"
Patrick Pettey,"Chief of Staff, Sen. Bob Smith"
David Rudd,"Chief of Staff, Sen. Fritz Hollings"
Kate Rose,"Senior Health Policy Advisor, Representative Allyson Schwartz; Health LA, Senator John D. Rockefeller."
Erika Long,"​Legislative Asst, Rep Jim Davis; Sr Legislative Asst, Rep Bart Stupak; Professional Staff, Energy & Commerce Committee; Sr Investigator, US Senate Committee on the Judiciary"
Hunter Hall,"Regional Director, Senate Member Office (Cassidy); Advance, Dept of Commerce"
Rodney Alexander,"Member of Congress, 2002-2013"
Michael Goodman,"Chief of Staff House Member Office (Kind), Legislative Staff House Member Office (Braley, Barrow)"
Manny Rossman,"Legislative Assistant, Rep. Phil Crane 01-02, Legislative Director, Rep. Phil Crane 03-04, Senior Policy Advisor, Office of Sen. Trent Lott 05-06, Chief of Staff, Office of the Senate Republican Whip 07-09"
Steve Stombres,"Chief of Staff, Office of the Majority Leader 10-14; Chief of Staff, Office of the Minority Whip 08-09; Chief of Staff, Office of the Chief DeputyMajorityWhip04-07; Chief of Staff, Congressman Eric Cantor 01-03"
Kyle Nevins,"Deputy Chief of Staff, House Majority Leader 11-13; Floor Director, Rep. Eric Cantor 09-10; Floor Director, Rep. Roy Blunt 07-08; Floor Assistant, Rep. Roy Blunt 03-06"
John O'Neill,"Policy Director/Counsel, Senate Minority Whip 04-06; Tax Counsel, Senate Finance Committee 07"
Mimi Simoneaux Kneuer,"Legislative Assistant, Legislative Director, Chief of Staff, Rep. Tauzin"
"W.J. ""Billy"" Tauzin",Member of Congress (LA-3)
Jim Davis,"Member, U.S. House of Representatives"
Thomas Reynolds,"Member, U.S. House of Representatives"
Shawna Francis  Watley,"​LA, Sen. J. Robert Kerrey"
Samir Jain,"Associate Deputy Attorney General (DOJ); Senior Director, Cybersecurity Policy (National Security Council, EOP)"
W. Roger Gwinn,"Associate Staff Member at House Committee on Appropriations
Legislative Director for Rep. Vic Fazio, 1987-1993"
Stephanie Missert,"Intern for Senator Kirsten Gillibrands Buffalo Regional office, 2/2011-5/2012"
Steven Eichenauer,"Legislative Assistant, U.S. Senate"
Tom Nagle,"Chief of Staff, U.S. Senator Tom Udall; Chief of Staff, U.S. Representative Tom Udall; Associate Staff, U.S. House Committee on Appropriations"
Alison Esquea,"Deputy Leg. Director, Sen. John Kerry; Deputy Leg. Director, Sen. Mo Cowan"
Tucker Shumack,"Tax & Finance Counsel, Sen. Small Business Committee/Sen. Snowe; Legislative Asst, Sen. Isakson; Legislative Asst, Sen. Coverdell"
Conrad Lass,"Chief of Staff/ Special Assistant, U.S. Bureau of Land Management"
Chris Giblin,"Chief of Staff, Rep. John Carter; Legislative Director, Rep. Charlie Norwood"
Andrew Tharp,Legislative Aide - Rep. Mo Brooks
Mitch Butler,Rep McInnis; CEQ AD; DOI PDAS FWP
Mitch Butler,Staff for Rep. McInnis; CEQ AD; DOI PDAS FWP
Mary Pavel,Staff Director and Chief Counsel for the Senate Committee on Indian Affairs
Michael Higdon,Rep. Hal Rogers - Chief of Staff/Appropriations Associate 2007-2013
Peter Rich,"Counsel, House Energy and Commerce Committee."
Andrew Palmer,"Legislative Assistant, Representative Fleischmann; Legislative Assistant, Representative Fincher."
Thomas M. Davis,"Member, U.S. House of Representatives"
Deborah Burrell,"Chief of Staff, Rep Roscoe Bartlett."
Deborah Burrell,"Chief of Staff, Rep. Roscoe Bartlett"
Blanche Lincoln,U.S. Senator and Congresswoman--Arkansas
Robert Holifield,"Staff Director, Senate Agriculture Committee; Staff Director, Senate Finance Subcmte on Int'l Trade; Deputy Chief of Staff, CFTC; Director of External Affairs, CFTC"
Hannah Lambiotte Smith,"Legislative Correspondent, Sen. Blanche Lincoln; Legislative Assistant; Sen. Blanche Lincoln; Staff Director, Senate Finance Subcmte Trade"
Mac Campbell,"Deputy Staff Director, Senate Finance Committee; General Counsel, Senate Finance Committee; Legislative Director, Sen. Maria Cantwell; Tax Counsel and Legislative Assistant, Sen. Blanche Lincoln"
Louie Perry,LA House Member Office (Huckaby)
Thomas Shipman,"Maj Staff Dir Sen Ag Cmte, Dep Und Sec Farm; Foreign Ag; LA Senate Member Office (Cochran); Senate Approps Cmte"
Michelle Mrdeza,"Prof Staff; House Approps (Lewis, Young, Livingston)"
Zach Israel,"Intern for U.S. Senator Robert Menendez, 05/2009-07/2009; 01/2010
Intern for former U.S. Rep. Scott Murphy, 09/2009-04/2010
Intern for former U.S. Rep. Rush Holt, 06/2010-08/2010"
Daniel Meyer,"Asst. to President, Legis. Affrs, Pres. GW Bush (2007-2009)"
David Schiappa,"US Senate--Assistant Secretary for the Majority (1996-2001) 
US Senate--Secretary for the Majority/Secretary for the Minority (2001- 8/4/2013)"
Brian Griffin,"Floor Assistant, Office of the Secretary for the Minority (end 12/00); 
Senior Leadership Advisor for Senator Byron Dorgan (Democratic Policy Committee Chairman) (end 12/03)"
Anne Wall,"Legislative Correspondent/Floor Assistant/Office Counsel/Floor Director-Ofc of Sen. Durbin; Spec Asst/Dep. Asst to President, Ofc Leg Affairs, The White House; Counselor to the Sec Treasury; Asst. Sec Leg Affairs, Dept. Treasury"
Anne Bradbury,"Small Business Admin (8/03-5/04) Rep Charles Boustany (2/05-8/05) Dep Floor Dir, Ofc of Maj Leader (Delay/Boehner) (8/05-12/05) Dep Floor Dir, Min Leader Boehner (1/06-12/10) Floor Dir, Spkr Boehner (1/11-10/15), Spkr Ryan (10/15-10/16)"
Katherine Keating,"Chief of Staff to Congressman Joseph Crowley, House Democratic Caucus (5/07-12/18)
Staffer, Labor-HHS-Education Appropriations Subcommittee (1/05-4/07)
Legislative Director to Congresswoman Allyson Schwartz, Ways and Means Committee (9/99-12/04)"
Matt Leffingwell,"Director of Member Services Coalitions, House Appropriations Cmte.; CoS, Rep. Kay Granger; Deputy CoS, Rep. Kay Granger; Comms. Director, Rep. Kay Granger; Comms. Director, Rep. Jon Porter; Projects Director/Press Secretary, Rep. Mark Kirk"
Stephen Peranich,Chief of Staff to Congressman Gene Taylor (1989-2010)
Jen Olson,"Legislative Director, Sen. Lindsey Graham; Legislative Assistant, Sen. Lindsey Graham; Legislative Assistant, Rep. Jim Kolbe"
Michael Scrivner,"Chief of Staff, Hon. Norman F. Lent"
Peter A. Leon,"Legislative Director, Hon. Eliot Engel"
Carolina Mederos,"Jan. 1988--Dir. of Programs and Evaluation, DOT,  Chair, Secretary's Safety Review Task Force;  Jan. 1988-Nov 1989--Dep. Assist. Sec. for Safety, Dep. Assist. Sec. for Policy and Int'l Affairs; Nov. 1989-Feb. 1990-Sr. Policy Adv."
Devon Seibert-Bailey,"House Veterans Affairs Committee Majority Staff
Congresswoman Marge Roukema
Congressman David McKinnley"
George Miller,Retired Member of Congress
Stephen Claeys,"Trade Counsel, Committee on Ways & Means (1/2011-2/2017); Deputy Asst. Secretary for AD/CVD Operations, U.S. Department of Commerce (10/2005-1/2009)"
Stephen Claeys,"National Security Advisor, Office of the Vice President, White House (4/2003-10/2005); Chief of Staff to Assistant Secretary for Import Administration, U.S. Department of Commerce (7/2001-4/2003)"
Emily Emery,"LC, Sen. Tom Harkin (Jan 2001 - April 2003)"
Elizabeth Spivey,"Director of Outreach, House Transportation and Infrastructure Committee 2013-2016 Senior Policy Advisor, Senator Trent Lott 1997-2007"
Christopher Bertram,"Staff Director, House Transportation Comm. 2012 to 2016; A. Secretary, U.S. Dept of Transportation, 2009 to 2012; Prof. Staff, Senate Commerce Comm. 2003 to 2009; A. Administrator, FAA, 2001 to 2003; Prof. Staff, House Transportation Comm. 1996-2001"
Jeff Sadosky,"Communications Director, Senator Rob Portman 
Communications Director, Senator Kay Bailey Hutchison
Deputy Press Secretary, Senator Mike DeWine"
Ryan Welch,"Chief of Staff, Senator Kelly Ayotte, April 14 - Jan. 17"
Ryan Welch,"Legislative Director, Senator Richard Shelby, Legislative Assistant,
Senator Richard Shelby, Legislative Correspondent, Senator Richard
Shelby."
Adrienne Schweer,"Chief of Protocol, Office of the Secretary of Defense, Senior Aide and
Director of Scheduling, Senator Chuck Hagel, Staff Assistant, Senator
Chuck Hagel"
John Simpson,Lobbyist
Ludmilla Kasulke (nee Savelieff),"2003- Intern Sen. DeWine; Jan. 06-May 06: Intern, WH Council on Environ. Quality; May 06-April 07: Ex. Assist., Chairman, WH Council on Environmental Quality;  April 07-Jan. 09: Special Assist.,  Chairman, WH Council on Environmental Quality"
Rory Murphy,"July-Dec 2007: S.A., Sen. Finance Com.; Feb. '09-Jan. '13: Intern'l Trade Analyst, Sen. Finance Com.; Jan. '13-Feb. '14: Intern'l Trade and Nominations Advisor, Sen. Finance Com.,;Feb. '14-May '15:Policy Analyst, Ex-Im Bank."
Randal Meyer,"Legislative Counsel, Senator Rand Paul 2015-2016"
Michael Drobac,"Legislative Director to Sen Coleman, 05-06; Sen Hutchison 03-05; Sen Smith 97-99"
Casey Stokes,"Leg Corr, Rep. Patrick McHenry, May 15-Feb 16; Staff. Asst, Rep. McHenry, Dec 14-May 15; Int, Rep. Renee Ellmers, Sep-Dec 14."
Edward Hill,"Legislative Assistant, Congressman G.K. Butterfield"
Heather McHugh,"Legislative Director, Senator Charles Schumer; Legislative Director, Congressman Steve Israel; Legislative Assistant, Congresswoman Nydia Velazquez."
Heather McHugh,"Legislative Director, Senator Schumer; Legislative Director, Congressman Israel; Legislative Assistant, Congresswoman Velazquez."
Todd Webster,"Communications Senate Member Office (Murray, Daschle), Chief of Staff Senate Member Office (Coons)"
David Thomas,"Chief of Staff, Representative Zoe Lofgren; 
Director of Congressional Relations, Federal Trade Commission; 
Deputy Director for Legislative Affairs, Vice President Gore; 
Staff Assistant, Senator Metzenbaum"
Nichole Distefano,"Legislative Director, Senator Claire McCaskill;
Associate Administrator, Office of Congressional and Intergovernmental Relations, U.S. Environmental Protection Agency;"
Nichole Distefano,"Deputy Associate Administrator, Office of Congressional and Intergovernmental Relations, U.S. Environmental Protection Agency;
Senior Advisor, Office of Congressional and Intergovernmental Relations, U.S. Environmental Protection Agency;"
Nichole Distefano,"Senior Counsel, Senator Claire McCaskill;
Counsel, Senator Claire McCaskill"
Ileana Ros-Lehtinen,Mbr of Cong. 1989-2019
Jeff MacKinnon,LD & LA Rep. Joe Barton (RTexas)
Jeffery Mortier,"Prof Staff on E&C Cmte, LA Rep Whitfield and Intern Devin
Nunes"
Sarah Walter,"Former Legislative Director/Chief Counsel, Sen. John
Breaux"
J. Daniel Walsh,LD Rep. Wayne Gilchrest and LA Rep. Jack Buechner
Edward Whitfield,U.S. Representative (21 yrs.)
kristen O'Neill,"Health Policy Advisory, LA, Staff Assistant Gene Greene (DTX)
Staff Assistant GK Butterfield (D-NC)"
David Schiappa,"1996-2001 - US Senate--Assistant Secretary for the Majority 
2001- 8/4/2013 - US Senate--Secretary for the Majority/Secretary for the Minority"
Katherine Keating,"Chief of Staff to Rep. Joseph Crowley, House Democratic Caucus (5/07-12/18)
Staffer, Labor-HHS-Education Appropriations Subcommittee (1/05-4/07)
Legislative Director to Rep. Allyson Schwartz, Ways and Means Committee (9/99-12/04)"
Alycia Maloney,"Senior Manager, American Society for Transplantation and Cellular Therapy"
Joshua M. Finestone,"Legislative Assistant, Rep. Mike Rogers; Legislative Director, Rep. Tom Graves; Legislative Assistant, Sen. Dean Heller; Senior Legislative Assistant, Sen. Dean Heller; Professional Staff, Senate Committee on Commerce, Science and Transportation"
Joshua H. Raymond,"Budget and Policy Analyst, Office of Management and Budget; Legislative Assistant, Rep. Darlene Hooley; Chief of Staff, Rep. Christopher S. Murphy"
Nicholas D. Choate,"Deputy Legislative Director, Sen. Claire McCaskill; Legislative and Communications Assistant, Rep. Karen McCarthy; Legislative Assistant/Press Secretary, Rep. Dan Boren; Legislative Director, Rep. Jim Costa; Legislative Director, Rep. Bart Stupak"
Matt Smith,Sen Dan Coates/ EOP/ Dept. of VA
Jeremy Scott,"Senator Mike DeWine (OH).
 
March 1999 - April 2000Legislative Correspondent
December 1998-March 1999Staff Assistant/Intern Coordinator"
Jeremy Scott,Senator Mike DeWine (OH). March 1999 - April 2000 Legislative Correspondent December 1998-March 1999 Staff Assistant/Intern Coordinator
Tyler Roberts,"Lead Staff Advisor on health policy, tax trade and financial service matters for Senator Dan Sullivan (R-AK), Staff Assistant for Congressman Jeff Fortenberry (R-NE), Research Assistant for Congressman Joe Barton (R-TX) and Roy Blunt (R-MO)."
Claire Badger,"U.S. Senate, Office of the Democratic Leader, Democratic Steering and Outreach Committee"
Emilia DiSanto,Deputy Inspector General-US Department of State; Chief of Staff - Federal Housing Finance Agency Office of Inspector General; Chief Investigative Counsel and Special Counsel - U.S. Senate Committee on Finance
Lisa Kountoupes,"Deputy Asst. to the President&House Liaison, Special Assistant to the President for Legislative Affairs, Asst. Director for Legislative Affairs at OMB,Special Asst. to Undersecretary,Dept.of Energy,Policy Advisor to Chairman of Energy&Commerce Comm."
Randi Reid,"Legislative Director, Legislative Assistant and Projects Director, Legislative Assistant - Senator Michael Enzi, R-WY; Legislative Director - Rep. Michael Burgess, R-TX"
David Peluso,"Chief of Staff - Representative Cathy McMorris Rodgers, R-WA; Chief of Staff, Communications Director, Legislative Assistant, Deputy Press Secretary and Executive Assistant - Representative Gus Bilirakis, R-FL"
Lori Denham,"Chief of Staff, Legislative Director, Legislative Assistant, Senior Policy Advisor, Communications Director, Staff Assistant - Rep. Cal Dooley, D-CA; Legislative Director - Rep. Darlene Hooley, D-OR"
Julie Hershey Carr,"Senior Policy Advisor, Legislative Director, Legislative Assistant - Rep. Joe Pitts, R-PA"
Martin Cancienne,"Frm. COS, COO, and Dist. Dir. Cong. Tauzin"
Tracy Spicer,"Deputy Chief of Staff, Political Director, Legislative Assistant, Special Assistant, Staff Assistant - Sen. Edward Kennedy"
Brendan Dunn,"Staff Mbr and Leg Asst to Sen Hatch Judiciary Comm and Sub-Comm,
Apr04-May07, Aug07-May08; Special Counsel to Sen Hatch Fin Comm,
Jan 11-Dec 12; Policy Adv and Counsel to Sen McConnell Majority
Leader staff, Dec 12-May18."
Virgil Miller,"Policy Fellow, Rep. Edolphus Towns, Aug06 - Feb07; Prof Staff Mber,
Commit on Eng and Com, Feb 07 - Jan 11; Health Policy Advisor, Rep.
John D. Dingell, Jan 09 - Jan 11; CoS, Rep. Cedric Richmond, Jan 11 -
Mar 19."
Caryn Dyson,"Prof staff mbr to Sen Breaux, 2003-04; Intrn to Sen Mikulski, 1999"
Virgil Miller,"Policy Fellow, Rep. Edolphus Towns, Aug06 - Feb07; Prof Staff Mber,Commit on Eng and Com, Feb 07 - Jan 11; Health Policy Advisor, Rep.
John D. Dingell, Jan 09 - Jan 11; CoS, Rep. Cedric Richmond, Jan 11 -
Mar 19."
Sam Olswanger,"Leg staff, Rep Webster, Jan 11-Jun 11; intrn, Rep Blackburn, Sep 08-Dec
08"
James Flood,Counsel - Senate Judiciary Committee (Sen. Schumer)
Byron Brown,"Deputy Chief of Staff - EPA; Senior Counsel - Senate Committee on Environment and Public Works (Sen. James Inhofe, Chairman); Senior Counsel - House Committee on Natural Resources (Rep. Doc Hastings, Chairman)"
Saira Sultan Chirico,"US Senate HELP Committee, Employment Subcommittee, Chief Counsel"
David Jones,"Counsel/Chief Antitrust Counsel, Senate Judiciary Comm./IP Subcommittee (Sen. Hatch)"
R. James Nicholson,Secretary Dept of Veterans Affairs; Ambassador to Holy See Dept of State
Aleta Greer,"Intern, Senate Banking Committee; Intern, Rep Suzan DelBene; Intern, Rep. Joe Garcia"
Hope Hurley,"Press Assistant, Sen. James Webb; Intern, Rep. Jim Moran"
Scott Klug,Member of Congress 1991-1999
Theodore Bornstein,COS Rep. Aspin; COS Sen. Kohl; OSD-DOD
Jennifer Walsh,"Administrative Assistant, Deputy COS, COS: Rep. Dennis Cardoza; Field Representative: Rep. Vic Fazio; Staff Assistant, Program Director, Executive Assistant: House Democratic Caucus"
Bart Stupak,"U.S. Representative, 1993-2011"
Kendrick B. Meek,"U.S. Representative (FL-17), 2002-2010"
Jeffery Mortier,"Prof Staff on E&C Cmte LA Rep Whitfield and Intern Devin
Nunes"
Thomas Reynolds,"Member, U.S. Congress"
Sally Vastola,"Chief of Staff, Rep. Thomas Reynolds"
Federico de Jesus,"Principal, FDJ Solutions, LLC"
Oswaldo Palomo,"L.A., Rep. Walsh, Staff Assistant, Rep. Walsh"
"Douglas C. ""Mike"" McIntyre",former Congressman
